Sentiment,Text
positivo,Contactanos!!! Más modelos en tienda   #Ropa #Estreno #Navidad #Campeche #Mexico https://t.co/SvplLVdBjg
positivo,"Ya se siente la navidad 🎄 #Navidad2021 #Mérida #Yucatán #Brunch en Mérida, Yucatán, México. https://t.co/t2MW3jw0bK"
positivo,@hectorRushdeMu Gracias!!!😜
positivo,#Campeche #Mexico #moda #Estrenos #Ropa #Saronsboutique https://t.co/COy0zJdhwX
neutro,@sergiozs1009 La defensa del Checo para https://t.co/ygaqo8uXKJ ventaja a Hamilton.
positivo,Muchas felicitaciones a la familia Abraham Mafud y a todo el Grupo Abraham
neutro,Ladies and gentlemen my first Fabada. Calificación: 8 Maridaje: tempranillo. https://t.co/PQnkjonba2
positivo,Contactanos!! Con gusto te atendemos.  #Saronsboutique #Campeche #Mexico #Ropa #Estrenos #moda https://t.co/7evQLeSNxZ
positivo,Mi ex me trata mejor desde que terminamos jsjsjs:( https://t.co/t5vb39qdEZ
positivo,@Itsmehdz Y tu bien feliz sin saber qué oso!
neutro,El aguacate adornando los sabores https://t.co/lb9SyUCm1h
positivo,Síguenos en Facebook  https://t.co/CTMAeFS4WP  #Saronsboutique #moda #Ropa #Mexico #Campeche https://t.co/hNp3RWh1Dq
positivo,Contactanos!! Más modelos en tienda.  #Campeche #Mexico #Saronsboutique #moda #Ropa https://t.co/7v04iZNjdh
neutro,"@Itsmehdz No pos si ya hiciste el oso pos si unas disculpas, le dices que no estabas en tus facultades mentales 🤣"
positivo,Contactanos!! Más modelos en tienda.   https://t.co/IA9W7CbYTM   #ropa #Mexico #Campeche #moda #Estrenos https://t.co/p90ntetkfC
negativo,A dos de brincar a la grada y armar mi desmadre con los haters pero les callamos la boca en la cancha 🤘🏽
positivo,"Tomar Una cerveza frente al ayuntamiento, ya puede ser borrado de mi lista de cosas por hacer. ✅  *Lo llevan preso *"
positivo,Que rico me cogio este hetero curioso... pero al final decidió que se la metiera y le encantó la venga..! https://t.co/FxB4axVtLL
positivo,"Cabalgamos en #Kanasín en honor a nuestra #VirgendeGudalupe, la que nos cuida como verdadera madre. ❤️‍🔥🐎 https://t.co/8eS7Umcdp5"
negativo,"Siempre he dicho que me digan en vida lo bueno o malo que soy pero creo que es un exceso que cuando muere alguien ponerlos casi en plan de santos, héroes, únicos. En un velorio una tía me sacó por decir  mi tía fue y será hasta muerta una hija de la chingada..."
positivo,Ya voy a empezar la nueva temporads de Demon Slayer!!! https://t.co/J9Xv38Jbrh
negativo,No quería pero está bastante bueno...
negativo,"Y ahora resulta que era una santa, lloran y los dramas, coño solo ya se murió . Semanas antes discutimos, no me bajaba de un maricón jodido y que Dios me iba a mandar al infierno y mis primos me decían que mi conciencia no debe estar tranquila y les decía esta mejor que nunca.."
negativo,Le dije las cosas en su cara y en vida y no me arrepiento. Hay que tener los huevos para decir lo que sientes en vida.
neutro,"Tres gaviotas en Progreso, Yucatan https://t.co/mOf7Qr1nSK"
negativo,@EARLOVEYOULOVE @Elven_Dido @GabyMeza8 El acento de Sofía Vergara es sólo un personaje.
positivo,"Busco un sugar daddy🥺😝 Heee, es broma pero si quieren no es broma🥵"
negativo,@NTelevisa_com Por mandato presidencial ?? Cómo ? La vacuna Pfizer que me pudieron no es compatible con la Astra !!
positivo,Será momento para escuchar rolas sads
positivo,"| En mi camino, encontré a un grupo de antorchistas que visitaron el Santuario Guadalupano.   Que chulo es andar en bici. https://t.co/76VrQ2rLtz"
negativo,El puto amo!
neutro,Pensando en @KinkyHotwife43 https://t.co/mzd6Xh8Bg1
neutro,En Yucatán y todo México. https://t.co/L4xXAS557w
positivo,Un regalito para navidad?🥺🥵 https://t.co/rzc9avFK3Y
neutro,En nuestra sección de #Relatos presentamos  El asesinato del Pastor  una historia ubicada en la época de la dictadura militar Nicaragüense.  Un relato donde el pasado y el presente se conectan.  https://t.co/zbYxa49dCO
negativo,"Y de pronto me llega un whats que dice:  Hoy fui a Polonia,   Y agrega  caminando  Y luego que ese texto, es de mi hija. Y yo.... @HolaSoyPame https://t.co/eG5OeCSH5I"
negativo,Andaba de castrosa toda la mañana y el pobre hombre me mandó unas florecitas 🥺🥰
negativo,Si veo que en Twitter no hay buena respuesta me dedicaré más a IG
positivo,Yo aquí queriendo estar allá @BreathlessCUN 😎✨🌊  #vacationmode #playa #cancún #azul #vitaminsea #sunday #finde https://t.co/xs3nOuKo6I
neutro,"@AguedaBc73 Ah pues ese descubrimos esta excelente comareeee, solo, la siguiente vez habríamos que cambiar por  Ladrón de manzanas , esta increíble, no da agruras y tiene las tres Bs.."
negativo,#KANela sufre mucho con los cohetes y bombitas. Mídanse con la #Pirotecnia #Exageran #TodoConMedida en Mérida Yucatán https://t.co/0osZz11WFW
positivo,Para festejar el día! en Mérida Yucatán https://t.co/JWXVqiay6D
positivo,@GabyMarcEs @LaComadree Jajajajajajaja no puedes hablar porque te silencian. https://t.co/rcrMItxly5
positivo,Árbol de las jícaras… el árbol sagrado de los mayas… https://t.co/F197VVOLRZ
positivo,Buenas tardes https://t.co/HKeimlfZI4
neutro,@sergiozs1009 El Trampa Bay de la F1
negativo,de esa extraña melodía que algunos llaman destino y otros prefieren llamar casualidad ✨
positivo,Que rica está el agua hoy 🥵
neutro,Tip para La Bikina del futuro: Ya no estamos en edad de cubrir 2 eventos en una misma noche y viajar al otro día
positivo,Para seguir con las bebidas espirituosas de nuestras tierras! en Mérida Yucatán https://t.co/8c0Yv1Lz1E
neutro,Acaba de publicar una foto en Mérida Yucatán https://t.co/rvdZlGw9K3
positivo,19 años se dicen fácil pero que bellos ♥️ #NFU
positivo,"@namencharruf Paramount +, o en la ilegalidad del internet jaja."
positivo,De mis películas favoritas! https://t.co/y6f2e2Ebaw
positivo,"@cynsol Bien dicho. Y para eso estamos hechos, para el circo, el teatro y lo demás, con esa actitud,... no pasa, nada. Ánimo. 👍"
negativo,"Hoy fui a comprar en la sucursal aquí en la cd de Campeche, Camp y comento que el cajero no entrega los tickets de correspondientes. Es más, ignoro si lo que me cobraron fue lo correcto.  Favor de tomar nota a quién corresponda. Saludos y gracias."
positivo,"➡️ Muy frescos que se ven 👀 nuestros sorbettos🍦 de MANGO 🥭 &amp; FRESA 🍓  😎Somos más que un helado, somos @DomoGelato Heladería Artesanal y Cafetería🍦☕ #OlvídateDeLasBolitas  🔑🔓Abrimos de 🕑2 pm🌞 a 🕘9 pm🌜 todos los días  , 📌#PlazaAteneum 🏛️Ave. García Lavín https://t.co/PYQISha0mB"
negativo,Me siento Verónica Castro en “¡Mala Noche No!”🤣🤣🤣🤣  #PeinadoTime
indeterminado,Como si tuviera 20 cabrooon
negativo,"@fuedicho @Mar_Escandon Amar a tu prójimo, este es que por  más  extraño que nos parezca necesita de nuestro amor, y compresión."
positivo,Domingo de pasarla cómodo en casa 😌  Pelos tardes 🐻😘  #beardman https://t.co/chnH7T6nRO
negativo,"@Mar_Escandon No está bien que la gente tire basura en la calle, deben sancionar a la gente que lo hace."
positivo,"@luisarturovlogs Genial, está ganando el @realmadrid, saludos"
negativo,"En el tuuta, todos somos solo  tuiteros .  Eso diferencia al @Twitter de  lo demás .  ¿De acuerdo?"
positivo,"@SoyHuachi77 Ya verás que así será amigo ánimo,te mando un abrazo."
neutro,@Idalmybaquedano Próximamente por cabo y cuenta la leyenda que otro por poniente
negativo,Ojalá todos los perritos perdidos vuelvan a casa 😢🙏🏻🐶
neutro,será este el fin del hombre araña?
indeterminado,"#road #mtb #mtblife #montemaya #reserva #arboles #landscape #mtbroad #instayucatan #sacnicte en Sacnité, Yucatan, Mexico https://t.co/ssPBryAo3a"
positivo,"@AguedaBc73 Vende OXXO, creo.. Nos ponemos de acuerdo y te las llevo comareee.. Están muy ricas.."
positivo,@edgar_sampieri Liderando el club jajaja pero ala amo andar en este mood 😍🥰
positivo,"Pueblos todos, batid las manos; Aclamad a Dios con voz de júbilo. Salmos 47:1 RVR1960  https://t.co/epBFczb7nV https://t.co/SgQUVdVnRt"
negativo,Sigo sin creer que esté muerto Vicente Fernández 😢
negativo,"La amiga al día siguiente: es todo, no me acordaba de tener otro delineador , aparte estos $100 extra 👊🏻😎"
neutro,"#karst #caves #cuevas #cuevasmx #karsticlandscape #relievekarstico #paisajekarstico #karstmx #water #agua #riossubterraneos #cenotesyucatan #cenotesmx en Homún, Yucatan, Mexico https://t.co/WFR5QMrQiP"
neutro,"Siempre lo he dicho, carezco de ambos. No puedo. https://t.co/K0f1DnkXop"
neutro,"La Ermita a la Virgen de la Inmaculada Concepción en Tabi, Yucatán.   #church #chapel #capilla #romancatholic #virginmary #inmaculadaconcepcion #iglesia #fachada #instayucatan #catolicos #catolicoromano en Tabí https://t.co/jiLa8egxqu"
negativo,Ufff! Ya terminé de responder todos mis mensajes. O eso creo🤔😝 Nota personal: No dejar que se acumulen los chats😖
negativo,@Mzavalagc @FelipeCalderon @diputadospan @DIPUTADOSPRI1 @LillyTellez @XochitlGalvez @kenialopezr y demás miserables que dicen preocuparse por los mexicanos.
positivo,Olvídate de tus problemas y ven a la #RivieraMaya. :) https://t.co/u9LY0wqioF
neutro,Tengo algo que atrae a ciertos individuos. https://t.co/35zOfy5E65
positivo,#playadelcarmen 🇲🇽 https://t.co/agEr7hJJBB
positivo,@gaychilango #NuevaFotoDePerfil https://t.co/onCZqLw66e
positivo,"Gisela bien feliz apesar de azotarse en el pavimento, yo bien sacado de pedo por no ganar mi pavo :( https://t.co/v66KrWrBNt"
positivo,#NuevaFotoDePerfil #gay #mexicogay https://t.co/utuhHUvCzQ
positivo,Lugares bonitos para comer en Umán. https://t.co/2GsJbdyOgt
negativo, El amor tiene tantas formas que sería triste limitarlo 
negativo,"Desde el viernes he estado comiendo solo ensalada de pollo y sandwiches, me gusta no me quejo pero ya urgeme que se acabe 🥺"
positivo,@FabiolaCastr0 Yo quiero 😍
neutro,@Marsherams81 Cual juego? La temporada termino hace 2 semanas
positivo,Aguas como dices las cosas jajajaja https://t.co/J8adtfbSLf
positivo,@SpecialistHope Muchas gracias!!! 😁
neutro,@Adela_Micha Yo en lo personal lamento que no estés tú en la transmisión de Televisa junto a @lopezdoriga
positivo,Pero modric que bueno eres
negativo,@kmilo_ararat @GUSTAVOVANGUIAQ Buena verga
positivo,@Draconblue_OF @OsoCarinoso1 Buena verga
neutro,"Antes de terminar este 2021, seguiremos reconociendo a los buenos gobiernos municipales en yucatán como lo fue #FelipeMedinaChi quien encabezo a la administración pública 2018-2021 en el municipio de #Acanceh. https://t.co/kc5igfh0rT"
positivo," El silencio es una virtud, una salida, un preludio, una herida y hasta una ofensa. Me encanta todo lo que se puede otorgar cerrando la boca.             ~Elena Poe"
positivo,@TheMtyBottom Hermoso racimo
positivo,"Quiero mejorar en muchas cosas este año que viene, espero todo se de bien 🙏"
positivo,Gracias como siempre por responder @JAPAYOficial 😃. Esperamos la pronta respuesta de esto. Saludos. @SergioChanLugo @OjoUrbano_MID @GS_Bam25
positivo,@JAPAYOficial @AyuntaMerida Gracias como siempre por responder @JAPAYOficial 😃. Esperamos la pronta respuesta de esto. Saludos. @SergioChanLugo @OjoUrbano_MID @GS_Bam25
positivo,Acaba de publicar una foto en Arte en Uñas Fabiola Acosta Nail Artist https://t.co/1H3tAdB0Os
neutro,No creo que nadie pueda hacercarse al Real Madrid por menos de 10 puntos esta temporada en La Liga.
positivo,Acaba de publicar una foto en Arte en Uñas Fabiola Acosta Nail Artist https://t.co/M0vAd21pdC
neutro,ESTO. Lo vengo diciendo desde hace rato que existen estos datos! La discapacidad también como caso de negocio.  El poder económico de las personas con discapacidad y sus familias es de 8 trillones. (Se estima el 3er poder adquisitivo mas grande en el mundo después de EU y China)
positivo,@karimeestrv Caele queda un pedacito jejeje Pero te corrijo JPI
negativo,"Yo le di muchas libertades Por eso se fue 😔💔🥺Siempre ha Sido mi culpa, si lo celo, si no lo celo, si le prohíbo tomar, si lo dejo tomar, si le perdono el cuerno, si no le perdono el cuerno, si lo dejo ser, si no lo dejo ser, si no lo quiero cambiar o si lo quiero cambiar 🤷🏻‍♀️"
neutro,"El alcalde de #Motul, @RogerAguilarMX y su esposa #KellySosaLugo, encabezaron la entrega de material escolar y de limpieza a escuelas pertenecientes al sistema @CONAFE_mx, en donde el edil motuleño reiteró el apoyo a los maestros que forman a estudiantes de Motul y sus comisarias https://t.co/jvdNjhrn59"
neutro,Esto es para los distraídos que NO saben cómo usar las glorietas. De nada. Gracias @sspyuc por las imágenes educativas 🤭. @OjoUrbano_MID @PoderAG_Merida
positivo,Aquí el motivo de la tuneada…a ritmo de #GREASE por el cumple de la suegris #rocknroll https://t.co/amMjKpioRp
neutro,@sspyuc Esto es para los distraídos que NO saben cómo usar las glorietas. De nada. Gracias @sspyuc por las imágenes educativas 🤭. @OjoUrbano_MID @PoderAG_Merida
positivo,"@TributoAguila @ClubAmerica Tranquilo, mañana se anuncia. Siempre ha sido así. Se roba reflector a la final y al campeón... para demostrar quien manda"
neutro,Por eso mejor a pedalear 🥰🚲. #EnBiciEsMejor @AraBonita_ @CeciliaPatronL @KathiaBolio @OjoUrbano_MID @bma_mid @psic_dgg @SebastianGp2603
negativo,Nunca
negativo,"El mesero me dijo que como raro, porque pedí cóctel de camarones y relleno negro.   Si supiera que soy rarito se espanta 😋."
negativo,"Mate a un perro, que mal humano soy, un vergazo a mi auto , un perro menos."
positivo,😇Santo Domingo de Oración en Familia 🥰 https://t.co/SqSe7AKdUN
positivo,Los quiero mucho
positivo,Buenas buenas!!!
positivo,"@Israel_Noh15 Ven, Deposita tu leche dentro de lo panochitaa papi"
neutro,"Domingueando en Mérida, Yucatan https://t.co/LW3BNn2zOe"
neutro,@anavaleero Es cierto
positivo,@sanchez51459497 Una flaquita nalgona de botas cafe claro
negativo,"@jimenaaconjota No, no, no, no puedo quitar la imagen de mi cabeza ver cómo dió 5 vueltas en el aire el perro, como del tamaño de tu canino :( mi auto con unnvrgzo"
positivo,Ceci me cuentan que la vitacilina te puede quitar el ardor.
positivo,En el mar la vida es muuuuy chabocha 😎 #FelizDomingo familia. https://t.co/qiSXThpqhf
positivo,@kettlebuns @German18572927 Precioso
negativo,"Una cliente acaba de decir, y cito:  Nunca me decepcionan sus postres  ...  Eso es todo lo bonito que me sucederá hoy ❤️"
neutro,"Acepto transferencias.  •Venta de fotos, videos.   •Servicios presenciales.  •solo compañía. •dominatriz •preparada en atención especial para personas con discapacidad. https://t.co/bxLIVyFYa2"
positivo,Un pastel de tocino con miel de Maple?  Un pastel de tocino con miel de Maple!  😋👌🏻
negativo,Se nos fue Vicente Fernández 😢😥😭😳🇲🇽😔 https://t.co/wktLXOmJrJ
negativo,"El chavo que me gusta, me dijo que uno de sus amigos pregunto por mi ...  Eso que significa ?? 🤔 Que le recontraturbovalgo cacahuate vdd?  No respondan, es un tuit retórico 💔😔"
positivo,#Perifoneo #ÓpticaNox #Dzemul #Tortuguitas #MannySocial #FelizDomingo https://t.co/13kZPvYb6d
positivo,Quiero
neutro,Los cumpleaños de @manni_blanquet son del demonio
neutro,"Acaba de publicar una foto en Mérida, Yucatan https://t.co/mZtSXHOT8r"
negativo,@bronxsym @martindelp Lo mismo me pasó con CR7...me cagaba el madrid
negativo,Invitaciones vergas.
negativo,@hmerosau Yo en las mismas en Umán 😞
neutro,@GabrielOsorioPa Nombres para ventanear su fanfarronería
positivo,Que probabilidad hay de que me encuentre al amor de mi vida en el remate hoy?
positivo,En serio me encanta estar sola en casa tranquila con mis rolitas trabajando🍻❣️
positivo,Pero se jugó con garra jajaj
positivo,La familia #PérezValladares en modo navideño🎄🎁 https://t.co/HNBY6vUvZG
neutro,"@muerodcalor Tal cual soy yo, Norman Geovani para servirte. https://t.co/nSddhALAcK"
neutro,Me confieso adicto al cielo... https://t.co/OeQLrnQpq1
neutro,"Me tomo que hoy esta frío aquí dentro jijijiji en Hospital Rural No. 63 Maxcanú, Yucatàn. https://t.co/fpoAcndzDO"
positivo,Domingo de deportes y recuperación
negativo,Yo mandé todo al carajo 👤 https://t.co/g8KjFmMDq2
negativo,"Tengo un grano más grande que mi cara, se llama postulio ya tiene vida propia"
indeterminado,@brenespin Felicitaciones Brennn!
neutro,"Tengo un boleto libre para ir a ver spiderman no way home el viernes 17 de diciembre a las 7:30 en centro magno, quien quiere ir conmigo?"
negativo,¿Habrá antecedentes de que haya nevado en Yucatán?.
negativo,Me deprime cada canción de esas que hablan de amor como el que yo te di.
negativo,"Alv, ya quiero salir asiiiii"
positivo,"Puedo ser la persona más amable contigo, pero también la más culera jsjsjsj"
positivo,Amigos estoy feliz por que en mis foros ya se ve mi cuello JAJAAJAAJAJ
positivo,Cuando no sabes a dónde viajar cada fin de semana y apareces en izamal pueblo mágico ❤️ https://t.co/2CAbaXO0LN
negativo,No te estaba buscando y te encontré
positivo,@Leopold98088318 Si pa estuvo muy rico
positivo,Y dicen que los del ENARM no innovan.   En 2022 tendremos la nueva especialidad de  Crudologo    ¡Enhorabuena a los futuros Crudologos!  👏🏻 https://t.co/R4FX3gOftf
neutro,Así la ironía desde Palacio Nacional #DiaDeLaVirgenDeGuadalupe ( ͡° ͜ʖ ͡°) https://t.co/6vsaoeyZqW
negativo,Gente gritando a todo pulmón que no cree en la Virgen de Guadalupe. Todo porque quieren atención. Un día su papá les dijo -Te voy a llevar por un helado y se le olvidó.
negativo,"Es falso que el metabolismo cambia con los años, sólo cambia cuando ocurre una enfermedad.  @DatoPsicologicos."
negativo,@Roberto_Cein Oh mierda entonces soy pedófilo ?😭
neutro,Sigo con el azúcar alta
negativo,Hoy si me quiero poner hasta la vrg *se duerme a las 8*
neutro,evidencia de que a algunas personas les vale no ser empáticos ni ser cívicos/as y estacionarse adecuadamente. Nos preguntamos ¿cómo es que la @AAFY_Oficial @saf_yucatan @GobYucatan @MauVila y la @sspyuc otorgan licencias a gente inconsciente así?...  @OjoUrbano_MID @GS_Bam25
neutro,"Aportación ciudadana 17-09-21 Nos enviaron estas 📸 con el siguiente escrito:  Reporte ciudadano: Hice 2 horas en la @GaleriasContigo y el dueño del 🚘ni sus luces, ocupando 4 espacios sólo para que su vehículo esté en la sombra. Anónimo por favor 🙏🏻 . Aquí tenemos la clara... https://t.co/5wRjfCBCtF"
neutro,La placa es la YWA-925-D de #Yucatán.
positivo,Es lo mejor del mundo
negativo,Sentido común se llama 🙄
positivo,🦁¡YA SE SIENTE EL RUGIR! 🔥 #UnSoloEquipo https://t.co/2WwIpy6UTI
positivo,#QueridoDiario hoy será el #MissUniverse2021 y ya quiero ver a #Mexico contendiendo por esa corona 🌌👑
positivo,"#QueridoDiario hoy regresé a la cocina y volví a hornear un delicioso pay de queso, espero les guste a todos."
positivo,@AguedaBc73 La vida es dura comareeee.. Que le hago? Hay que luchar todos los días.. 🙌😂
positivo,"Tiro la roca al mar que lleva mis deseos, busco en la trama el desconcierto, las emociones..."
negativo,"Que te rompan el corazón está bien, al final a todos nos gusta armar rompecabezas... pero que se lleve las piezas, eso sí es jodido."
positivo,@Alphawar712 Pelos tardes igualmente bb 😘 💕 💖 😊
neutro,Me volví locaaaaaaaaaaa con las compras
indeterminado,@D_A_V_I_D_MX Nada lo es ya 🥲
positivo,@_Nat_taly_ Graciassss amigaaaa!   Estoy feliz!!!! 🤗✨🧡
positivo,"Mi parte favorita de las palomitas, son las bolitas que no terminaron de cocerse🍿"
neutro,Estoy muy ansioso por la sig semana …
positivo,En #LaBodaMasFelizDelMundo felicidades amigos @jessicanti y @rafaelalanisgtz 🥰🥰🥰🥰 en Hacienda Dzibikak https://t.co/xIc8ENlQQX
negativo,Ojalá las Hadas madrinas fueran eternas ✨
negativo,Jamás lo vuelvo hacer
neutro,El arte | el artista 🔥🙈 https://t.co/YcKb9JSdiY
neutro,Trabajando duro ó durando en el trabajo?... https://t.co/1LNKdl3PQ1
negativo,"Siento que la pregunta pudo haber omitido las referencias bíblicas al inicio y, aún así, tener todo el sentido del mundo."
negativo,Mi tía y mi mamá son un chiste borrachas! 🤭
neutro,🥳🥳 en Remate de Paseo Montejo https://t.co/leCfPb7xUE
positivo,Fiesta con mi sobrina. Y reunion con los amigos runners!! https://t.co/LX7u6gqZaC
neutro,Alejandro Fernández me representa en la vida
positivo,Que paz descanse un gran icono de la música vernácula el grande Vicente Fernández https://t.co/u1QRVfEWHh
negativo,Donde está el pinche frío de diciembre 🥵
neutro,En qué se parecen los turcos a los yucatecos? 🌚
positivo,"¡Vamos rojinegros, esta noche tenemos que ganar! 🗣🏆 #TapatiaenYucatan @AtlasFC #VamosAtlas https://t.co/tU3nTTZYBC"
neutro,Los mejores #noodles @kioyuskylounge #enjoynoods #noodles en Mérida Yucatán https://t.co/8mSa7eRDNy
positivo,Que rico es estar en pijama desde las 5pm
positivo,@teresitaradiol Tere! Feliz cumple 🎂 que la sigas pasando muy bien y súper festejada 🥳🎉Abrazo.   Te hicieron discada? 😋
indeterminado,Disponible avenida canek frente a taqueria 14 https://t.co/Kr1heV5ph1
positivo,El hermano más orgulloso sin duda 🥺
negativo,"Mi culito gordo necesita verga, alguien de Mérida para cojerme? https://t.co/YA7uVkRN3j"
positivo,Querido diario .... Hoy fue un domingo feliz y hermoso!!!
neutro,"Muchacho de la cafetería con novia, deja el teléfono un rato y prestale atención a ella"
positivo,Un día diré no fue fácil pero lo logramos 🙏 https://t.co/yOS9YwmwW3
positivo,¡Juguemos para ganar premios! Ven conmigo a GAMEE. https://t.co/sSnZ9jdoJm
negativo,1 silla más vacía este Diciembre.. me duele tanto que no estés aquí. No será lo mismos sin ti. Aun me duele tu ausencia. https://t.co/sNCpNNb6Qr
negativo,La desesperación nos puede llevar a las decisiones más equivocadas y una vez ahí solo prolongamos el problema.
positivo,Una vez que hemos tocado fondo nos abrimos a los cambios más grandes.
positivo,@nono_arnoldo14 @mariaLch16 En unos días lo haremos. Nosotros avisamos.
negativo,@MalalaSemilla seguro Scrat fue el culpable. https://t.co/RJfScHEbBJ
positivo,"@patriciordgz Allí voy yo, y te puedes vengar de mi."
neutro,Un deceso y 9 contagios por Covid-19 en día de la guadalupana  https://t.co/919nmjQBFm https://t.co/pKYWcNdewY
negativo,"Tal vez, la distancia no es el problema, sino cómo la manejas."
positivo,@SWAleyLuisMID Jaja vamos armar algo el próximo fin 😏
positivo,@DemianMaiden Gracias 😘
neutro,La de México:    #MissUniverse2021 https://t.co/zBY9FLAjB0
positivo,Que bonito es mi México 🇲🇽❤️ #torneoguadalupano2021 en Lienzo Charro  Los Laureles  https://t.co/y2r2xn48zB
negativo,Hoy me siento muy putito https://t.co/ArWVXMTK5U
neutro,"Detestable la transmisión de @WinSportsTV en el partido de @AmericadeCali. Señor @velezfutbol: parar el partido es una cuestión de humanidad, no de tiempo como usted dice. Y señor @Cantantedelgol la delegada de campo no es una “niña”. La prepotencia y machismo de estos es tenaz."
negativo,Alguien me explica por qué no pasó Bélgica ni Israel? #MissUniverse #fiasco
negativo,"@NECROHUNTER666 @javierbernalcru @BodegaAurrera Ya lo hice, pero eso no es obstáculo para denunciar las cosas que están mal."
positivo,una date a las miches para vernos así https://t.co/SUJT6hBima
positivo,@guidovinci_rc A bueno a lo se ha llegado.
positivo,"Feliz noche de domingo, les  envío saludos desde Dzemul, Yucatán, Mx. #CanRosel   #Perifoneo #ÓpticaNox #Dzemul #Tortuguitas #FelizDomingo #MannySocial https://t.co/heiHcsyzS9"
